"","Order","Family","N","N_full","min_Mass","max_Mass"
"Sardinella_aurita","Clupeifrom","Clupeidae",1,1,125,125
"Labrus_merula","Labridae","Labridae",2,2,399,432
"Liza_saliens or Liza_aurata","Mugiliform","Mugilidae",1,0,371,371
"Brotula_barbata","Ophidiiformes","Ophidiidae",2,2,65,233
"Parablennius_gattorugine","Perciform","Blenniidae",1,1,53,53
"Parablennius_pilicornis","Perciform","Blenniidae",1,1,8,8
"Trachurus_mediterraneus","Perciform","Carangidae",2,2,114,121
"Plectorhinchus_mediterraneus","Perciform","Haemulidae",1,1,300,300
"Coris_julis","Perciform","Labridae",1,1,39,39
"Ctenolabrus_rupestris","Perciform","Labridae",1,1,25,25
"Symphodus_cinereus","Perciform","Labridae",2,2,27,31
"Symphodus_tinca","Perciform","Labridae",2,1,35,275
"Mullus_surmuletus","Perciform","Mullidae",1,1,59,59
"Chromis_chromis","Perciform","Pomacentridae",5,5,6,18
"Scomber_scombrus","Perciform","Scombridae",2,1,293,308
"Serranus_cabrilla","Perciform","Serranidae",6,6,26,76
"Serranus_scriba","Perciform","Serranidae",1,1,134,134
"Siganus_luridus","Perciform","Siganidae",21,21,39.8,440
"Siganus_rivulatus","Perciform","Siganidae",63,63,9,339
"Boops_boops","Perciform","Sparidae",1,1,200,200
"Diplodus_annularis","Perciform","Sparidae",2,1,143,160
"Diplodus_puntazzo","Perciform","Sparidae",2,2,223,236
"Diplodus_sargus","Perciform","Sparidae",7,6,167,405
"Diplodus_vulgaris","Perciform","Sparidae",2,1,44,293
"Oblada_melanura","Perciform","Sparidae",1,0,325,325
"Pagellus_erythrinus","Perciform","Sparidae",4,4,100,131
"Pagrus_pagrus","Perciform","Sparidae",3,2,151,287
"Sarpa_salpa","Perciform","Sparidae",52,47,164,716
"Sparus_aurata","Perciform","Sparidae",3,3,265,288
"Spicara_smaris","Perciform","Sparidae",1,1,14,14
"Tripterygion_delaisi","Perciform","Tripterigiidae",1,1,3,3
"Scorpaena_notata","Scorpaeniform","Scorpaenidae",2,2,43,54
"Scorpaena_porcus","Scorpaeniform","Scorpaenidae",3,2,114,210
"Scorpaena_scrofa","Scorpaeniform","Scorpaenidae",1,1,54,54
"Syngnathus_tenuirostris","Syngnathiformes","Syngnathidae",1,1,5,5
"TOTAL",NA,NA,202,NA,3,716
